序号,作者,武器,类型,地图,改枪码,备注,价格
1,小迟春日,AKM,突击步枪,烽火地带,6KS511G0D107PF1CQ8UD9,颗秒ak,
2,小迟春日,M7,战斗步枪,烽火地带,6KS52400D107PF1CQ8UD9,丐版36w,36w
3,小迟春日,SR-25,射手步枪,烽火地带,6KBIGDC0D107PF1CQ8UD9,短管骨架61w,61w
4,青年钟意,M7,战斗步枪,烽火地带,6K7NPR00D107PF1CQ8UD9,共三80w,80w
5,青年钟意,M7,战斗步枪,烽火地带,6K7T9U40D107PF1CQ8UD9,多口径相位3倍,
6,青年钟意,M7,战斗步枪,烽火地带,6KA9BNO0D107PF1CQ8UD9,轻语相位3倍,
7,董先生Gamers,M7,战斗步枪,烽火地带,6K522RK0E6SPBD0A68SQU,红点版,
8,董先生Gamers,M7,战斗步枪,烽火地带,6K523DS0E6SPBD0A68SQU,2-4倍镜版,
9,董先生Gamers,M7,战斗步枪,烽火地带,6K8BFRO0D107PF1CQ8UD9,2-4倍镜版（枪管正拉）,
10,董先生Gamers,M7,战斗步枪,烽火地带,6K5UAAC0E6SPBD0A68SQU,3.5倍镜版,
11,董先生Gamers,M7,战斗步枪,烽火地带,6K8BD8K0D107PF1CQ8UD9,3.5倍镜相位狙击版（枪管正拉）,
12,董先生Gamers,M7,战斗步枪,烽火地带,6K8BLMK0D107PF1CQ8UD9,3.5倍相位狙击超稳定版（枪管正拉）,
13,董先生Gamers,M7,战斗步枪,烽火地带,6K8BIOO0D107PF1CQ8UD9,3.5倍共三CT版稳定（枪管正拉）,
14,董先生Gamers,M7,战斗步枪,烽火地带,6K8UA600D107PF1CQ8UD9,3倍,
15,董先生Gamers,M7,战斗步枪,烽火地带,6K90NF40D107PF1CQ8UD9,3.5,
16,小迟春日,M7,战斗步枪,烽火地带,6K98JF80D107PF1CQ8UD9,蓝管火控,
17,小迟春日,M7,战斗步枪,烽火地带,6K98MC40D107PF1CQ8UD9,侵袭后握,
18,小迟春日,M7,战斗步枪,烽火地带,6K98P0S0D107PF1CQ8UD9,侵袭后握轻语消音,
19,小迟春日,M7,战斗步枪,烽火地带,6KC0NL40D107PF1CQ8UD9,镭射,
20,小迟春日,M7,战斗步枪,烽火地带,6KCGUC80D107PF1CQ8UD9,无枪管,
21,小迟春日,M7,战斗步枪,烽火地带,6KCHP0C0D107PF1CQ8UD9,蓝管,
22,小迟春日,MK47,突击步枪,烽火地带,6K8D13S08DJPVV4FTJID3,共二轻语（62）,
23,小迟春日,MK47,突击步枪,烽火地带,6K8IMJK03KM7QR4PBMEC9,相位轻语（61）,
24,小迟春日,MK47,突击步枪,烽火地带,6K8UCIO0D107PF1CQ8UD9,幻影余烬FCC（56）,
25,小迟春日,MK47,突击步枪,烽火地带,6K8UDUC0D107PF1CQ8UD9,共二余烬钛金（52）,
26,小迟春日,MK47,突击步枪,烽火地带,6K8UELC0D107PF1CQ8UD9,余烬幻影CT版（正据枪）,51万
27,小迟春日,MK47,突击步枪,烽火地带,6K8UFRS0D107PF1CQ8UD9,余烬共二多口径（53）,
28,小迟春日,AR57,突击步枪,烽火地带,6KCHQAC0D107PF1CQ8UD9,半改38w,38w
29,小迟春日,AR57,突击步枪,烽火地带,6KCHQKG0D107PF1CQ8UD9,满改51w,51w
30,小迟春日,腾龙,突击步枪,烽火地带,6K900FK0D107PF1CQ8UD9,,
